"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ZRMUQ9YM","conferencePaper","2014","Atz, Ulrich","The tau of data: A new metric to assess the timeliness of data in catalogues","CeDEM14 Conference for E-Democracy and Open Government","","","","","","2014","2021-12-08 11:37:38","2021-12-08 11:37:38","","147–162","","","22","","","The tau of data","","","","","","","","","","","","Google Scholar","","","","/Users/timdavies/Zotero/storage/85FHULW2/Atz_2014_The tau of data.pdf; /Users/timdavies/Zotero/storage/ZZA8KZN6/books.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MCJAV7G3","conferencePaper","2016","Au, Vincent; Thomas, Paul; Jayasinghe, Gaya K.","Query-Biased Summaries for Tabular Data","Proceedings of the 21st Australasian Document Computing Symposium","978-1-4503-4865-2","","10.1145/3015022.3015027","https://doi.org/10.1145/3015022.3015027","Government, research, and academic data portals publish a large amount of public data, but present tools make discovery difficult. In particular, search results do not support a user's decision whether or not to commit to a download of what might be a large data set. We describe a method for producing query-biased summaries of tabular data, which aims to support a user's download decision-or even to answer the question on the spot, with no further interaction. The method infers simple types in the data and query; automatically refines queries, where that makes sense; extracts relevant subsets of the complete table; and generates both graphical and tabular summaries of what remains. A small-scale user study suggests this both helps users identify useful results (fewer false negatives), and reduces wasted downloads (fewer false positives).","2016-12-05","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-11-15","69–72","","","","","","","ADCS '16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","","","","data portals; information retrieval; tables","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y5DGLQWK","journalArticle","2019","Beck, Micah","On the hourglass model","Communications of the ACM","","0001-0782, 1557-7317","10.1145/3274770","https://dl.acm.org/doi/10.1145/3274770","Used in the design of the Internet and Unix, the layered services of the hourglass model have enabled viral adoption and deployment scalability.","2019-06-24","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-11-15 16:25:19","48-57","","7","62","","Commun. ACM","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/timdavies/Zotero/storage/YHAYEIK9/Beck_2019_On the hourglass model.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F8ZHN9Q7","journalArticle","2021","Bhandari, Sovit; Ranjan, Navin; Kim, Yeong-Chan; Park, Jong-Do; Hwang, Kwang-Il; Kim, Woo-Hyuk; Hong, Youn-Sik; Kim, Hoon","An Automatic Data Completeness Check Framework for Open Government Data","Applied Sciences","","","10.3390/app11199270","https://www.mdpi.com/2076-3417/11/19/9270","In recent years, the governments in many countries have recognized the importance of data in boosting their economies. As a result, they are implementing the philosophy of open government data (OGD) to make public data easily and freely available to everyone in standardized formats. Because good quality OGD can boost a country’s economy, whereas poor quality can jeopardize its efficient use and reuse, it is very important to maintain the quality of data stored in open government data portals (OGDP). However, most OGDPs do not have a feature that indicates the quality of the data stored there, and even if they do, they do not provide real-time service. Moreover, most recent studies focused on developing approaches to quantify the quality of OGD, either qualitatively or quantitatively, but did not offer an approach to automatically calculate and visualize it in real-time. To address this problem to some extent, this paper proposes a framework that can automatically assess the quality of data in the form of a data completeness ratio (DCR) and visualize it in real-time. The framework is validated using the OGD of South Korea, whose DCR is displayed in real-time using the Django-based dashboard.","2021-01","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-11-15 20:23:59","9270","","19","11","","","","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Number: 19 Publisher: Multidisciplinary Digital Publishing Institute","","/Users/timdavies/Zotero/storage/8X3SWT3P/htm.html; /Users/timdavies/Zotero/storage/V4M22B6P/Bhandari et al_2021_An Automatic Data Completeness Check Framework for Open Government Data.pdf","","","application programming interface; data completeness ratio; data quality; Django; open government data; open government data portal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BPRGAFQG","journalArticle","2021","Bogdanović, Miloš; Veljkovic, Natasa; Frtunic Gligorijevic, Milena; Puflovic, Darko; Stoimenov, Leonid","On Revealing Shared Conceptualization Among Open Datasets","SSRN Electronic Journal","","1556-5068","10.2139/ssrn.3770603","https://www.ssrn.com/abstract=3770603","","2021","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-11-10 14:40:57","","","","","","SSRN Journal","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/timdavies/Zotero/storage/AYJQ7RAC/Bogdanović et al_2021_On Revealing Shared Conceptualization Among Open Datasets.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PK2IKVE8","document","","Braunschweig, Katrin; Eberius, Julian; Thiele, Maik; Lehner, Wolfgang; Dresden, Technische Universität","The State of Open Data Limits of Current Open Data Platforms","","","","","","Following the Open Data trend, governments and public agencies have started making their data available to the public using web portals, web services or REST interfaces. Ideally, making this data available on the web would lead to more transparency, participation and innovation throughout society. However, just publishing the data on the web is not enough. To truly advance the open society, the publication platforms need to fulfill certain legal, administrative as well as technical requirements. In this paper we present a survey of existing Open Government Data platforms, focusing on the technical aspects. We studied over fifty Open Data repositories operated by national, regional and communal governments, as well as international organizations. Features such as standardization, discoverability and machinereadability of data were taken into account. Furthermore, a subset of five repositories was examined in more detail, additionally analyzing data and metadata quality. We introduce a number of aspects of openness in order to classify the surveyed repositories and asses the state of Open Data on the web. We point out shortcomings of the existing portals regarding reusability and sketch our vision of an improved Open Data repository. For detailed information about our Open Data survey please also visit the following website:","","2021-12-08 11:37:38","2021-12-08 11:37:38","","","","","","","","","","","","","","","","","","","","CiteSeer","","","","/Users/timdavies/Zotero/storage/CZE32QAK/Braunschweig et al_The State of Open Data Limits of Current Open Data Platforms.pdf; /Users/timdavies/Zotero/storage/YUQJLFZW/summary.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5HT8HFCS","journalArticle","2021","Castelo, Sonia; Rampin, Rémi; Santos, Aécio; Bessa, Aline; Chirigati, Fernando; Freire, Juliana","Auctus: A Dataset Search Engine for Data Augmentation","arXiv:2102.05716 [cs]","","","","http://arxiv.org/abs/2102.05716","The large volumes of structured data currently available, from Web tables to open-data portals and enterprise data, open up new opportunities for progress in answering many important scientific, societal, and business questions. However, finding relevant data is difficult. While search engines have addressed this problem for Web documents, there are many new challenges involved in supporting the discovery of structured data. We demonstrate how the Auctus dataset search engine addresses some of these challenges. We describe the system architecture and how users can explore datasets through a rich set of queries. We also present case studies which show how Auctus supports data augmentation to improve machine learning models as well as to enrich analytics.","2021-08-31","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-11-15 17:08:43","","","","","","","Auctus","","","","","","","","","","","","arXiv.org","","arXiv: 2102.05716","","/Users/timdavies/Zotero/storage/XXSEAXVD/Castelo et al_2021_Auctus.pdf; /Users/timdavies/Zotero/storage/Q9WXXHWD/2102.html","","","Computer Science - Databases; Computer Science - Information Retrieval","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USVQBVMR","journalArticle","2017","Chatfield, Akemi Takeoka; Reddick, Christopher G.","A longitudinal cross-sector analysis of open data portal service capability: The case of Australian local governments","Government Information Quarterly","","0740-624X","10.1016/j.giq.2017.02.004","https://www.sciencedirect.com/science/article/pii/S0740624X16302283","While open government partnerships and open government data initiatives around the world have proliferated in practice, empirical research is required to better understand open data policy and open data portal capability which would spur meaningful citizen engagement towards co-production of open services innovation through open data reuse. Specifically, relatively little has been empirically investigated about open data portal as supply-side service capabilities at the local government level. In this longitudinal research on twenty open data portals in Australia's largest cities, cross-sector analysis results find large variation in open data portal service capabilities, which are measured by open data policy intensity, open data provision, data format variety, and entrepreneurial data services, including analytics tools, data modeling, and hackathon idea competitions. Longitudinal cross-sector analysis results also find the important roles played by open data policy and dedicated open data portal investment as predictors of open data portal service capability improvements over time.","2017-04-01","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-10-25 12:15:05","231-243","","2","34","","Government Information Quarterly","A longitudinal cross-sector analysis of open data portal service capability","","","","","","","en","","","","","ScienceDirect","","","","/Users/timdavies/Zotero/storage/TWBJ7L4H/Chatfield_Reddick_2017_A longitudinal cross-sector analysis of open data portal service capability.pdf","","","Big data; Citizens/portal users; Data analytics; Longitudinal cross-sector analysis; Open data; Open data policy intensity; Open data portal; Open innovation; Service capability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UVBVFM3M","conferencePaper","2020","Chmielinski, Kasia S; Newman, Sarah; Taylor, Matt; Joseph, Josh; Thomas, Kemi; Yurkofsky, Jessica; Qiu, Yue Chelsea","The Dataset Nutrition Label (2nd Gen): Leveraging Context to Mitigate Harms in Artiﬁcial Intelligence","","","","","http://securedata.lol/camera_ready/26.pdf","As the production of and reliance on datasets to produce automated decisionmaking systems (ADS) increases, so does the need for processes for evaluating and interrogating the underlying data. After launching the Dataset Nutrition Label in 2018, the Data Nutrition Project has made signiﬁcant updates to the design and purpose of the Label, and is launching an updated Label in late 2020, which is previewed in this paper. The new Label includes context-speciﬁc Use Cases Alerts presented through an updated design and user interface targeted towards the data scientist proﬁle. This paper discusses the harm and bias from underlying training data that the Label is intended to mitigate, the current state of the work including new datasets being labeled, new and existing challenges, and further directions of the work, as well as Figures previewing the new label.","2020","2021-12-08 11:37:38","2021-12-08 11:37:38","","7","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/timdavies/Zotero/storage/H6PWF3RE/Chmielinski et al_2020_The Dataset Nutrition Label (2nd Gen).pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NeurIPS 2020 Workshop on Dataset Curation and Security","","","","","","","","","","","","","","",""
"8RUMHAT2","conferencePaper","2018","Cordasco, Gennaro; Malandrino, Delfina; Pirozzi, Donato; Scarano, Vittorio; Spagnuolo, Carmine","A Layered Architecture for Open Data: design, implementation and experiences","Proceedings of the 11th International Conference on Theory and Practice of Electronic Governance","978-1-4503-5421-9","","10.1145/3209415.3209466","https://doi.org/10.1145/3209415.3209466","In order to increase transparency, Public Administrations (PAs) have their own portals to publish Open Data, resulting in more openness, reduced corruption and improved services. Open Data (OD) initiatives are achieving less citizens' engagement than expected. Hence, the need to find other ways and services to obtain more engagement and extract value from OD. This paper introduces an architectural model to design software platforms with the objective to increase public value through collective participation of citizens, public administrations and key stakeholders. The architectural model originates from the Data-Information-Knowledge hierarchy, where greater value is at the top of the pyramid, in information and knowledge gathered from data. Thus, the architectural model adds the collaborative and presentation layers to the classical data layer; citizens, public administrations, and stakeholders form groups of interests to understand, reason and interpret Open Data to gather information and generate knowledge that will be communicated to the general audience over Internet, thus, increasing public value. The paper describes three platform instances: the ROUTE-TO-PA ecosystem, the data.world, and DKAN, which functionalities can be mapped onto the architectural model proposed in the paper. Furthermore, the paper describes HETOR, a concreate experience of exploitation of the architectural model and the ROUTE-TO-PA ecosystem with groups of students and associations of citizens, who collaborated together to ultimately generate new knowledge for Cultural Heritage to be communicated over Internet through blog posts.","2018-04-04","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-11-16","371–381","","","","","","A Layered Architecture for Open Data","ICEGOV '18","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","","","","E-Participation; Open Data; Open Government","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XSWI3J5M","journalArticle","2020","Correa, Andreiwid Sheffer; Melo Jr., Alencar; Silva, Flavio Soares Correa da","A deep search method to survey data portals in the whole web: toward a machine learning classification model","Government Information Quarterly","","0740624X","10.1016/j.giq.2020.101510","https://linkinghub.elsevier.com/retrieve/pii/S0740624X20302896","","2020-10","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-11-10 14:45:55","101510","","4","37","","Government Information Quarterly","A deep search method to survey data portals in the whole web","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/timdavies/Zotero/storage/G48NTYJP/Correa et al_2020_A deep search method to survey data portals in the whole web.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2BYRH9YP","journalArticle","2012","De Cindio, Fiorella","Guidelines for Designing Deliberative Digital Habitats: Learning from e-Participation for Open Data Initiatives","The Journal of Community Informatics","","1712-4441","10.15353/joci.v8i2.3040","https://openjournals.uwaterloo.ca/index.php/JoCI/article/view/3040","This paper discusses issues in designing deliberative digital habitats. It identifies three dimensions that define them: the gemeinschaft dimension, the gesellschaft dimension, and the technology dimension, the latter with four different spaces. While not a how-to manual, this conceptual framework, rooted in both existing literature and field experimentation, should prove helpful to digital democracy designers, either for public institutions or grassroots movements. As a contribution to the growing body of scholarship on online deliberation, it organizes critical issues so that they will not be overlooked. Examples from field cases illustrate such issues.","2012-04-04","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-11-09 16:42:55","","","2","8","","","Guidelines for Designing Deliberative Digital Habitats","","","","","","","en","Copyright (c)","","","","openjournals.uwaterloo.ca","","Number: 2","","","","","Web site design","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
